data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,city_name,state,region
2025-12-28,202553,0.0,0,2.0,0,0.0,0.0,0,1,320530920255320460,2026-01-07,,0.0,331785.0,23.82494,90.43822,0,0.0,0,77.40292,57.07206,26.5312,30.77124,0.0,,,,,144914,Vitória,ES,Southeast
2025-12-21,202552,0.0,0,1.0,0,0.0,0.0,0,1,320530920255220460,2026-01-07,,0.0,331785.0,22.6164428571429,91.1917142857143,0,0.0,0,80.4945428571429,67.1737142857143,24.9450571428571,28.0815714285714,0.0,,,,,144914,Vitória,ES,Southeast
2025-12-14,202551,0.0,0,2.0,0,0.0,0.0,0,1,320530920255120460,2026-01-07,,0.0,331785.0,23.2889142857143,88.4943142857143,0,0.0,0,81.3758428571429,69.1355428571429,24.9131857142857,27.4324571428571,0.0,,,,,144914,Vitória,ES,Southeast
2025-12-07,202550,2.0,2,4.0,2,0.0,0.6028,0,1,320530920255020460,2026-01-07,,0.02517055,331785.0,23.8222142857143,88.8310285714286,1,0.0,0,80.3846285714286,67.8064571428571,25.9019,28.9402428571429,2.0,,,,,144914,Vitória,ES,Southeast
2025-11-30,202549,75.0,75,77.0,75,0.08519414,22.605,0,1,320530920254920460,2026-01-07,,0.80912584,331785.0,22.2080714285714,92.6546142857143,1,0.0,1,82.5972714285714,69.6182285714286,24.0098571428571,26.3510285714286,75.0,,,,,144914,Vitória,ES,Southeast
2025-11-23,202548,81.0,81,83.0,81,0.06571517,24.4134,0,1,320530920254820460,2026-01-07,,0.799609,331785.0,21.2342,91.1542,0,0.0,1,81.7592,67.3369428571429,23.4606714285714,26.5275285714286,78.0,,,,,144914,Vitória,ES,Southeast
2025-11-16,202547,94.0,94,96.0,94,0.13931158,28.3316,0,1,320530920254720460,2026-01-07,,0.8591307,331785.0,21.4149714285714,89.5615714285714,0,0.0,1,79.3741714285714,64.9042,23.7970142857143,26.9694,90.0,,,,,144914,Vitória,ES,Southeast
2025-11-09,202546,105.0,105,107.0,105,0.16295967,31.647001,0,1,320530920254620460,2026-01-07,,0.87724537,331785.0,19.9560857142857,83.8893428571429,0,0.0,1,73.1655285714286,61.0911,22.3031714285714,25.0902142857143,99.0,,,,,144914,Vitória,ES,Southeast
2025-11-02,202545,103.0,103,105.0,103,0.032273248,31.0442,0,1,320530920254520460,2026-01-07,,0.7850475,331785.0,22.0189714285714,88.9227571428571,1,0.0,1,79.4309714285714,64.2055,24.2574285714286,27.6135714285714,96.0,,,,,144914,Vitória,ES,Southeast
2025-10-26,202544,126.0,126,128.0,126,0.16704404,37.976402,0,1,320530920254420460,2026-01-07,,0.8887203,331785.0,21.1750285714286,92.3404714285714,0,0.0,1,83.9292714285714,71.3890857142857,22.999,25.6593714285714,112.0,,,,,144914,Vitória,ES,Southeast
2025-10-19,202543,123.0,123,123.0,123,0.08211662,37.0722,0,1,320530920254320460,2026-01-07,,0.84388655,331785.0,18.7271428571429,82.1086142857143,0,0.0,1,76.0765142857143,68.6851571428572,20.1884571428571,21.9064428571429,107.0,,,,,144914,Vitória,ES,Southeast
2025-10-12,202542,156.0,156,156.0,156,0.6572772,47.018402,0,1,320530920254220460,2026-01-07,,1.0474232,331785.0,21.8422428571429,91.8080714285714,0,0.0,1,83.9126,70.5839714285714,23.5807,26.1702285714286,129.0,,,,,144914,Vitória,ES,Southeast
2025-10-05,202541,142.0,142,142.0,142,0.25187612,42.7988,0,1,320530920254120460,2026-01-07,,0.92523134,331785.0,20.7133571428571,92.5138285714286,0,0.0,1,83.6716285714286,70.5333285714286,22.4119571428571,25.0033428571429,116.0,,,,,144914,Vitória,ES,Southeast
2025-09-28,202540,146.0,146,146.0,146,0.29835138,44.004402,0,1,320530920254020460,2026-01-07,,0.9409063,331785.0,18.0854,87.0879857142857,0,0.0,1,75.4931142857143,63.1768285714286,20.6135428571429,23.5057857142857,84.0,,,,,144914,Vitória,ES,Southeast
2025-09-21,202539,161.0,161,161.0,161,0.67342126,48.525402,0,1,320530920253920460,2026-01-07,,1.051962,331785.0,19.8899428571429,84.8884428571429,0,0.0,1,76.0859285714286,64.0375,21.6356857142857,24.0768571428571,109.0,,,,,144914,Vitória,ES,Southeast
2025-09-14,202538,152.0,152,152.0,152,0.5662698,45.8128,0,1,320530920253820460,2026-01-07,,1.0193943,331785.0,19.9662,92.1992142857143,0,0.0,1,84.9159,76.2794428571429,21.6024,23.7303285714286,109.0,,,,,144914,Vitória,ES,Southeast
2025-09-07,202537,164.0,164,164.0,164,0.8835844,49.4296,0,1,320530920253720460,2026-01-07,,1.1458325,331785.0,19.6778142857143,92.1663714285714,0,0.0,1,83.0747714285714,70.7307285714286,21.6819,24.2027428571429,144.0,,,,,144914,Vitória,ES,Southeast
2025-08-31,202536,134.0,134,134.0,134,0.58398974,40.3876,0,1,320530920253620460,2026-01-07,,1.0263838,331785.0,18.7089857142857,89.4297142857143,0,0.0,1,79.8751142857143,66.966,20.8176142857143,23.3038714285714,115.0,,,,,144914,Vitória,ES,Southeast
2025-08-24,202535,171.0,171,171.0,171,0.9972614,51.539402,0,1,320530920253520460,2026-01-07,,1.3845474,331785.0,19.3796285714286,93.3485285714286,0,1.0,1,81.4201,66.1937571428572,21.6979428571429,24.4651857142857,143.0,,,,,144914,Vitória,ES,Southeast
2025-08-17,202534,107.0,107,107.0,107,0.28370884,32.2498,0,3,320530920253420460,2026-01-07,,0.9263,331785.0,18.3413571428571,88.9669428571429,0,0.0,1,77.3861285714286,62.5716428571429,20.6016428571429,23.3933857142857,91.0,,,,,144914,Vitória,ES,Southeast
2025-08-10,202533,133.0,133,133.0,133,0.97652876,40.0862,0,3,320530920253320460,2026-01-07,,1.2962908,331785.0,18.2698428571429,84.665,0,1.0,1,75.8381571428571,63.0920285714286,20.1009714285714,22.3539142857143,83.0,,,,,144914,Vitória,ES,Southeast
2025-08-03,202532,123.0,123,123.0,123,0.9809613,37.0722,0,1,320530920253220460,2026-01-07,,1.3275415,331785.0,18.1175285714286,92.5188571428571,0,1.0,1,80.1813428571429,62.1166857142857,20.9926428571429,24.5677285714286,80.0,,,,,144914,Vitória,ES,Southeast
2025-07-27,202531,95.0,95,95.0,95,0.65925676,28.633,0,1,320530920253120460,2026-01-07,,1.062177,331785.0,18.3227428571429,85.0502428571429,0,0.0,1,73.7246571428571,60.1196857142857,20.4720714285714,23.1797714285714,75.0,,,,,144914,Vitória,ES,Southeast
2025-07-20,202530,95.0,95,95.0,95,0.57320625,28.633,0,1,320530920253020460,2026-01-07,,1.0272621,331785.0,18.3914857142857,92.504,0,0.0,1,80.906,64.2060857142857,20.9205285714286,23.8712571428571,83.0,,,,,144914,Vitória,ES,Southeast
2025-07-13,202529,80.0,80,80.0,80,0.09723915,24.112,0,1,320530920252920460,2026-01-07,,0.8228957,331785.0,17.7189285714286,89.3992285714286,0,0.0,1,78.6187,64.9659,20.1349,22.9804857142857,67.0,,,,,144914,Vitória,ES,Southeast
2025-07-06,202528,99.0,99,99.0,99,0.35997814,29.8386,0,1,320530920252820460,2026-01-07,,0.9510217,331785.0,17.6943428571429,89.3990714285714,0,0.0,1,81.5640571428571,72.1199571428571,19.5454714285714,21.5761857142857,91.0,,,,,144914,Vitória,ES,Southeast
2025-06-29,202527,92.0,92,92.0,92,0.06889932,27.7288,0,1,320530920252720460,2026-01-07,,0.8127487,331785.0,18.5625428571429,91.5253142857143,0,0.0,1,82.7815142857143,69.0507714285714,20.5274857142857,23.0115857142857,82.0,,,,,144914,Vitória,ES,Southeast
